timestamp,num_satellites,latitude,longitude,altitude,latitude_sigma,longitude_sigma,altitude_sigma,northing,easting,down,utm_zone
1418381153300352,9,51.760608,-1.261347,66.672599,2.349489,2.275082,3.777475,5735843.054420,619990.795338,-66.672599,30U
1418381153500352,9,51.760608,-1.261347,66.681963,2.349531,2.275044,3.777478,5735843.057012,619990.791720,-66.681963,30U
1418381153700353,9,51.760608,-1.261347,66.704428,2.349586,2.275029,3.777540,5735843.054381,619990.791417,-66.704428,30U
1418381153900354,9,51.760608,-1.261347,66.709241,2.349648,2.275000,3.777608,5735843.058364,619990.794214,-66.709241,30U
1418381154100355,9,51.760608,-1.261347,66.708100,2.349657,2.274933,3.777519,5735843.060998,619990.793045,-66.708100,30U
1418381154300356,9,51.760608,-1.261347,66.717569,2.349669,2.274923,3.777571,5735843.076180,619990.786462,-66.717569,30U
1418381154500357,9,51.760608,-1.261347,66.719770,2.349710,2.274884,3.777574,5735843.066560,619990.784615,-66.719770,30U
1418381154700357,9,51.760609,-1.261347,66.708815,2.349798,2.274835,3.777596,5735843.077848,619990.788478,-66.708815,30U
1418381154900358,9,51.760608,-1.261347,66.710943,2.349854,2.274824,3.777616,5735843.072993,619990.784419,-66.710943,30U
1418381155100359,9,51.760608,-1.261348,66.716583,2.349984,2.274791,3.777648,5735843.063655,619990.782633,-66.716583,30U
1418381155300360,9,51.760608,-1.261348,66.736358,2.350048,2.274775,3.777662,5735843.063291,619990.781917,-66.736358,30U
1418381155500361,9,51.760608,-1.261348,66.728818,2.350089,2.274736,3.777665,5735843.063663,619990.782798,-66.728818,30U
1418381155700361,9,51.760608,-1.261347,66.718557,2.350136,2.274697,3.777727,5735843.073286,619990.790733,-66.718557,30U
1418381155900362,9,51.760608,-1.261347,66.715014,2.350051,2.274623,3.777624,5735843.073100,619990.794555,-66.715014,30U
1418381156100363,9,51.760608,-1.261347,66.727546,2.350183,2.274607,3.777689,5735843.063981,619990.790067,-66.727546,30U
