timestamp,num_satellites,latitude,longitude,altitude,latitude_sigma,longitude_sigma,altitude_sigma,northing,easting,down,utm_zone
1403538150006938,5,51.765464,-1.258797,64.418000,2.745700,1.934600,6.701900,5736387.200441,620153.874707,-64.418000,30U
1403538150219102,5,51.765464,-1.258797,64.462400,2.745800,1.934700,6.702900,5736387.187449,620153.873199,-64.462400,30U
1403538150407378,5,51.765464,-1.258798,64.509100,2.746000,1.935000,6.704500,5736387.206199,620153.859718,-64.509100,30U
1403538150607210,5,51.765464,-1.258797,64.469800,2.747400,1.935400,6.706600,5736387.207457,620153.876550,-64.469800,30U
1403538150809102,5,51.765464,-1.258797,64.504400,2.749600,1.936000,6.708400,5736387.215887,620153.879936,-64.504400,30U
1403538151007142,5,51.765464,-1.258797,64.611600,2.750600,1.936300,6.709500,5736387.220554,620153.870641,-64.611600,30U
1403538151216240,5,51.765464,-1.258797,64.640700,2.749900,1.936400,6.709500,5736387.224307,620153.876912,-64.640700,30U
1403538151407235,5,51.765464,-1.258797,64.654800,2.750000,1.936400,6.710700,5736387.198987,620153.884760,-64.654800,30U
1403538151607249,5,51.765464,-1.258797,64.643200,2.750200,1.936400,6.710800,5736387.211556,620153.892738,-64.643200,30U
1403538151808484,5,51.765464,-1.258797,64.662000,2.748500,1.936100,6.710700,5736387.235061,620153.896261,-64.662000,30U
1403538152007264,5,51.765464,-1.258797,64.673800,2.749700,1.936900,6.715200,5736387.249667,620153.890550,-64.673800,30U
1403538152217636,5,51.765464,-1.258797,64.572700,2.749100,1.936400,6.713000,5736387.195725,620153.923547,-64.572700,30U
1403538152407017,5,51.765464,-1.258797,64.596700,2.748200,1.936400,6.713100,5736387.201784,620153.912182,-64.596700,30U
1403538152607281,5,51.765463,-1.258797,64.607100,2.748300,1.936300,6.712600,5736387.178358,620153.917702,-64.607100,30U
1403538152808580,5,51.765463,-1.258797,64.631000,2.749100,1.936400,6.713300,5736387.152657,620153.931374,-64.631000,30U
1403538153007056,5,51.765463,-1.258797,64.693100,2.747800,1.935800,6.710700,5736387.163265,620153.921142,-64.693100,30U
1403538153217078,5,51.765463,-1.258797,64.705600,2.748200,1.935900,6.712500,5736387.174189,620153.919564,-64.705600,30U
1403538153406913,5,51.765464,-1.258797,64.776500,2.750400,1.936200,6.712900,5736387.188878,620153.911703,-64.776500,30U
1403538153606998,5,51.765464,-1.258797,64.771500,2.749500,1.936000,6.713000,5736387.188345,620153.925856,-64.771500,30U
1403538153808465,5,51.765463,-1.258796,64.767900,2.749600,1.936300,6.715500,5736387.166767,620153.939915,-64.767900,30U
1403538154006675,5,51.765463,-1.258796,64.728100,2.747800,1.936000,6.715100,5736387.179602,620153.941681,-64.728100,30U
1403538154217684,5,51.765463,-1.258796,64.687000,2.747900,1.935800,6.713900,5736387.168889,620153.955294,-64.687000,30U
1403538154408723,5,51.765464,-1.258796,64.676200,2.749900,1.935900,6.715200,5736387.184408,620153.944132,-64.676200,30U
1403538154603194,5,51.765464,-1.258796,64.675700,2.748600,1.935800,6.714500,5736387.184431,620153.944182,-64.675700,30U
1403538154808513,5,51.765464,-1.258796,64.684900,2.749000,1.935800,6.715100,5736387.194821,620153.946288,-64.684900,30U
1403538155007038,5,51.765464,-1.258797,64.684200,2.749000,1.935900,6.716400,5736387.210502,620153.931487,-64.684200,30U
1403538155216671,5,51.765463,-1.258796,64.709700,2.750900,1.936300,6.718400,5736387.167656,620153.936820,-64.709700,30U
1403538155403139,5,51.765463,-1.258796,64.725200,2.753300,1.936700,6.719700,5736387.164627,620153.944817,-64.725200,30U
1403538155603327,5,51.765463,-1.258796,64.709000,2.751900,1.936400,6.718300,5736387.137311,620153.968913,-64.709000,30U
